TimeOFCR2																		
Box1																		
Animal ID	MD4_object																	
Group	MD																	
User Name	user1																	
Exp. Date	1/18/2019																	
Start Time	16:22																	
Finish Time	16:24																	
Project Name	20150721SocialDefeat																	
Session Name	20190118-1																	
Parameters																		
lower threshould: 	0																	
upper threshould: 	190																	
rate(frame/sec): 	2																	
duration(sec): 	150																	
bin duration(sec): 	60																	
subject size - min(pixcels): 	50																	
subject size - max(pixcels): 	2000																	
width(cm):	40																	
moving criterion(cm/sec): 	3.0																	
erode 	ON																	
No of erode: 	1																	
dilate 	ON																	
No of dilate: 	1																	
Auto Start	OFF																	
Center Region %	36																	
Backgound Color:	White																	
Angle Margin(degree):	30																	
Reset distance(cm):	80																	
Reset immobility: time(sec)	5																	
ROI radius(cm):	5																	
Referece File:	20151226SD																	
ROI File:	20150721ROI3																	
parameterÅ@File:	20151227_2m30sSD																	
CDÅ@Writing 	CD Writing OFF																	
Slice	X	Y	AREA	Distance	Immobile(0 or1)	Block No	Center(0 or 1)	Rearing(0 or 1)	No Particle	EpisodeNo.	Immobile Time(s)	Distance	TurnType	alpha	how finished	SubROI1	SubROI2	SubROI3
1	20	112	837	0.00	1	11	0	0	 	0	0.00	0.00	 	0	 	0	0	0
2	23	89	859	4.09	0	11	0	0	 	1	0.00	4.09		0	 	0	0	0
3	30	91	792	1.31	1	11	0	0	 	1	0.50	5.40	obtuse right	79	 	0	0	0
4	53	89	913	4.12	0	12	1	0	 	1	0.00	9.52	straight	155	 	0	0	0
5	85	91	939	5.61	0	12	1	0	 	1	0.00	15.13	straight	170	 	0	0	0
6	106	95	941	3.73	0	13	1	0	 	1	0.00	18.86	straight	173	 	0	0	0
7	113	100	953	1.46	1	13	1	0	 	1	0.50	20.31	straight	153	 	0	0	0
8	123	109	938	2.32	0	13	1	0	 	1	0.00	22.63	straight	172	 	0	0	0
9	112	120	913	2.62	0	13	1	0	 	1	0.00	25.24	obtuse right	89	 	0	0	0
10	106	157	888	6.59	0	18	1	0	 	1	0.00	31.83	obtuse left	144	 	0	0	0
11	100	187	802	5.38	0	23	0	0	 	1	0.00	37.21	straight	177	 	0	0	0
12	96	198	762	2.05	0	23	0	0	 	1	0.00	39.27	straight	171	 	0	0	0
13	89	190	827	1.81	0	22	0	0	 	1	0.00	41.08	obtuse right	61	 	0	0	0
14	55	196	778	5.89	0	22	0	0	 	1	0.00	46.97	obtuse left	122	 	0	1	0
15	29	201	711	4.76	0	21	0	0	 	1	0.00	51.73	straight	180	 	0	1	0
16	28	197	695	0.71	1	21	0	0	 	1	0.50	52.44	obtuse right	85	 	0	1	0
17	18	164	789	5.89	0	16	0	0	 	1	0.00	58.33	straight	168	 	0	1	0
18	12	118	831	8.08	0	11	0	0	 	1	0.00	66.41	straight	169	S	0	0	0
19	14	71	784	8.24	0	6	0	0	 	2	0.00	8.24		0	 	1	0	0
