TimeOFCR2																		
Box1																		
Animal ID	MD5_object																	
Group	MD																	
User Name	user1																	
Exp. Date	1/18/2019																	
Start Time	16:30																	
Finish Time	16:33																	
Project Name	20150721SocialDefeat																	
Session Name	20190118-1																	
Parameters																		
lower threshould: 	0																	
upper threshould: 	190																	
rate(frame/sec): 	2																	
duration(sec): 	150																	
bin duration(sec): 	60																	
subject size - min(pixcels): 	50																	
subject size - max(pixcels): 	2000																	
width(cm):	40																	
moving criterion(cm/sec): 	3.0																	
erode 	ON																	
No of erode: 	1																	
dilate 	ON																	
No of dilate: 	1																	
Auto Start	OFF																	
Center Region %	36																	
Backgound Color:	White																	
Angle Margin(degree):	30																	
Reset distance(cm):	80																	
Reset immobility: time(sec)	5																	
ROI radius(cm):	5																	
Referece File:	20151226SD																	
ROI File:	20150721ROI3																	
parameterÅ@File:	20151227_2m30sSD																	
CDÅ@Writing 	CD Writing OFF																	
Slice	X	Y	AREA	Distance	Immobile(0 or1)	Block No	Center(0 or 1)	Rearing(0 or 1)	No Particle	EpisodeNo.	Immobile Time(s)	Distance	TurnType	alpha	how finished	SubROI1	SubROI2	SubROI3
1	7	140	616	0.00	1	16	0	0	 	0	0.00	0.00	 	0	 	0	0	0
2	9	141	697	0.36	1	16	0	0	 	0	0.00	0.00		0	 	0	0	0
3	29	122	930	4.87	0	11	0	0	 	1	0.00	4.87		0	 	0	0	0
4	68	96	970	8.05	0	12	1	0	 	1	0.00	12.91	straight	169	 	0	0	0
5	100	76	967	6.55	0	8	1	0	 	1	0.00	19.46	straight	180	 	0	0	0
6	111	64	964	2.81	0	8	1	0	 	1	0.00	22.27	straight	167	 	0	0	0
7	109	65	957	0.32	1	8	1	0	 	1	0.50	22.59	d<1	-1	 	0	0	0
8	101	70	873	1.68	0	8	1	0	 	1	0.00	24.27	straight	175	 	0	0	0
9	98	72	903	0.68	1	8	1	0	 	1	0.50	24.94	straight	180	 	0	0	0
10	97	72	921	0.22	1	8	1	0	 	1	1.00	25.16	d<1	-1	 	0	0	0
11	96	70	960	0.34	1	8	1	0	 	1	1.50	25.50	d<1	-1	 	0	0	0
12	97	73	911	0.53	1	8	1	0	 	1	2.00	26.03	sharp	3	 	0	0	0
13	112	78	962	2.84	0	8	1	0	 	1	0.00	28.87	obtuse left	116	 	0	0	0
14	137	74	1036	4.33	0	8	1	0	 	1	0.00	33.20	straight	153	 	0	0	0
15	130	83	998	1.94	0	8	1	0	 	1	0.00	35.13	obtuse right	45	 	0	0	0
16	129	87	1002	0.68	1	8	1	0	 	1	0.50	35.81	straight	168	 	0	0	0
17	122	82	907	1.49	1	8	1	0	 	1	1.00	37.30	obtuse right	79	 	0	0	0
18	93	101	1004	5.92	0	13	1	0	 	1	0.00	43.22	obtuse left	110	 	0	0	0
