TimeOFCR2																		
Box1																		
Animal ID	cont6_SI																	
Group	control																	
User Name	user1																	
Exp. Date	1/18/2019																	
Start Time	16:43																	
Finish Time	16:46																	
Project Name	20150721SocialDefeat																	
Session Name	20190118-1																	
Parameters																		
lower threshould: 	0																	
upper threshould: 	190																	
rate(frame/sec): 	2																	
duration(sec): 	150																	
bin duration(sec): 	60																	
subject size - min(pixcels): 	50																	
subject size - max(pixcels): 	2000																	
width(cm):	40																	
moving criterion(cm/sec): 	3.0																	
erode 	ON																	
No of erode: 	1																	
dilate 	ON																	
No of dilate: 	1																	
Auto Start	OFF																	
Center Region %	36																	
Backgound Color:	White																	
Angle Margin(degree):	30																	
Reset distance(cm):	80																	
Reset immobility: time(sec)	5																	
ROI radius(cm):	5																	
Referece File:	20151226SD																	
ROI File:	20150721ROI3																	
parameterÅ@File:	20151227_2m30sSD																	
CDÅ@Writing 	CD Writing OFF																	
Slice	X	Y	AREA	Distance	Immobile(0 or1)	Block No	Center(0 or 1)	Rearing(0 or 1)	No Particle	EpisodeNo.	Immobile Time(s)	Distance	TurnType	alpha	how finished	SubROI1	SubROI2	SubROI3
1	21	181	756	0.00	1	21	0	0	 	0	0.00	0.00	 	0	 	0	1	0
2	12	150	742	5.48	0	16	0	0	 	1	0.00	5.48		0	 	0	1	0
3	15	156	638	1.03	1	16	0	0	 	1	0.50	6.51	sharp	12	 	0	1	0
4	18	158	650	0.81	1	16	0	0	 	1	1.00	7.32	straight	155	 	0	1	0
5	41	135	819	5.63	0	16	0	0	 	1	0.00	12.95	obtuse left	97	 	0	0	0
6	75	92	937	9.49	0	12	1	0	 	1	0.00	22.44	straight	175	 	0	0	0
7	86	78	934	3.20	0	7	1	0	 	1	0.00	25.64	straight	180	 	0	0	0
8	90	78	951	0.66	1	7	1	0	 	1	0.50	26.30	obtuse right	132	 	0	0	0
9	88	78	889	0.34	1	7	1	0	 	1	1.00	26.64	d<1	-1	 	0	0	0
10	93	67	922	2.12	0	8	1	0	 	1	0.00	28.76	obtuse right	38	 	0	0	0
11	93	64	950	0.50	1	8	1	0	 	1	0.50	29.26	straight	153	 	0	0	0
12	91	64	958	0.22	1	7	1	0	 	1	1.00	29.49	d<1	-1	 	0	0	0
13	92	63	939	0.34	1	8	1	0	 	1	1.50	29.83	d<1	-1	 	0	0	0
14	93	63	917	0.08	1	8	1	0	 	1	2.00	29.91	d<1	-1	 	0	0	0
15	93	62	933	0.07	1	8	1	0	 	1	2.50	29.98	d<1	-1	 	0	0	0
16	96	61	1012	0.55	1	8	1	0	 	1	3.00	30.53	obtuse right	125	 	0	0	0
17	95	61	1005	0.20	1	8	1	0	 	1	3.50	30.73	d<1	-1	 	0	0	0
18	96	62	975	0.24	1	8	1	0	 	1	4.00	30.97	d<1	-1	 	0	0	0
